Partlist

Exported from supervisor.sch at 09.07.10 15:18

EAGLE Version 5.8.0 Copyright (c) 1988-2010 CadSoft

Part     Value          Device             Package      Library         Sheet

R42      470            R-EU_R0603         R0603        resistor        1
R43      15             R-EU_0411/12       0411/12      resistor        1
R44      3k3            R-EU_R0603         R0603        resistor        1
R45      100            R-EU_R0603         R0603        resistor        1
R46      470            R-EU_R0603         R0603        resistor        1
R47      15             R-EU_0411/12       0411/12      resistor        1
R48      3k3            R-EU_R0603         R0603        resistor        1
R49      100            R-EU_R0603         R0603        resistor        1
R50      100            R-EU_R0603         R0603        resistor        1
R51      20             R-EU_R0603         R0603        resistor        1
R52      100            R-EU_R0603         R0603        resistor        1
R53      20             R-EU_R0603         R0603        resistor        1
R54      1M             R-EU_R0603         R0603        resistor        1
R55      1M             R-EU_R0603         R0603        resistor        1
R56      1M             R-EU_R0603         R0603        resistor        1
R57      1M             R-EU_R0603         R0603        resistor        1
R58      1M             R-EU_R0603         R0603        resistor        1
R59      1M             R-EU_R0603         R0603        resistor        1
R60      100k           R-EU_R0603         R0603        resistor        1
R61      100k           R-EU_R0603         R0603        resistor        1
R62      22             R-EU_R0603         R0603        resistor        1
R63      100            R-EU_R0603         R0603        resistor        1
R64      100            R-EU_R0603         R0603        resistor        1
T1       SI2351DS       SI2351DS           SOT23        icontroller     1
T1A      WIREPAD1,6/0,8 WIREPAD1,6/0,8     1,6/0,8      wirepad         1
T1B      WIREPAD1,6/0,8 WIREPAD1,6/0,8     1,6/0,8      wirepad         1
T2       SI2351DS       SI2351DS           SOT23        icontroller     1
T2A      WIREPAD1,6/0,8 WIREPAD1,6/0,8     1,6/0,8      wirepad         1
T2B      WIREPAD1,6/0,8 WIREPAD1,6/0,8     1,6/0,8      wirepad         1
T3       SI2351DS       SI2351DS           SOT23        icontroller     1
T4       SI2351DS       SI2351DS           SOT23        icontroller     1
T5       SI2351DS       SI2351DS           SOT23        icontroller     1
T6       SI2351DS       SI2351DS           SOT23        icontroller     1
T7       SI2351DS       SI2351DS           SOT23        icontroller     1
T8       SI2351DS       SI2351DS           SOT23        icontroller     1
T9       SI2351DS       SI2351DS           SOT23        icontroller     1
T10      SI2351DS       SI2351DS           SOT23        icontroller     1
T11      SI2351DS       SI2351DS           SOT23        icontroller     1
T12      SI2351DS       SI2351DS           SOT23        icontroller     1
X2                      233-503            233-503      con-wago        1
X3                      233-510            233-510      con-wago        1
